,Source_ID,Target_ID,Source_Mol,Target_Mol,Source_Mol_pCMC,Target_Mol_pCMC,Delta_pCMC,Source_Mol_Area_min,Target_Mol_Area_min,Delta_Area_min,Source_Mol_AW_ST_CMC,Target_Mol_AW_ST_CMC,Delta_AW_ST_CMC
10,compound_419,compound_395,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.920818753952375,1.74472749489669,0.823908740944315,0.524360358715057,0.428054809570313,-0.096305549144744,30.0,28.6,-1.3999999999999986
11,compound_395,compound_396,CCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.74472749489669,2.17392519729917,0.42919770240248,0.428054809570313,0.49,0.0619451904296869,28.6,29.5209407806396,0.9209407806395972
12,compound_395,compound_391,CCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.74472749489669,2.35654732351381,0.6118198286171199,0.428054809570313,0.417261451482773,-0.01079335808754,28.6,25.4,-3.200000000000003
13,compound_410,compound_391,CCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,2.0,2.35654732351381,0.3565473235138099,0.451528549194336,0.417261451482773,-0.034267097711563,30.0,25.4,-4.600000000000001
14,compound_412,compound_391,CCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.23657200643706,2.35654732351381,1.11997531707675,0.498662948608398,0.417261451482773,-0.081401497125625,33.2,25.4,-7.800000000000004
15,compound_419,compound_391,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.920818753952375,2.35654732351381,1.435728569561435,0.524360358715057,0.417261451482773,-0.107098907232284,30.0,25.4,-4.600000000000001
16,compound_391,compound_392,CCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,2.35654732351381,2.67778070526608,0.3212333817522701,0.417261451482773,0.57,0.1527385485172269,25.4,29.6815433502197,4.281543350219703
17,compound_412,compound_410,CCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.23657200643706,2.0,0.76342799356294,0.498662948608398,0.451528549194336,-0.047134399414062,33.2,30.0,-3.200000000000003
18,compound_419,compound_410,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.920818753952375,2.0,1.079181246047625,0.524360358715057,0.451528549194336,-0.072831809520721,30.0,30.0,0.0
19,compound_410,compound_411,CCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,2.0,2.03621217265445,0.0362121726544502,0.451528549194336,0.36,-0.091528549194336,30.0,29.4967803955078,-0.5032196044922017
20,compound_419,compound_412,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.920818753952375,1.23657200643706,0.315753252484685,0.524360358715057,0.498662948608398,-0.025697410106659,30.0,33.2,3.200000000000003
21,compound_412,compound_413,CCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.23657200643706,2.0268721464003,0.7903001399632399,0.498662948608398,0.456707417964935,-0.0419555306434629,33.2,29.8695068359375,-3.330493164062503
22,compound_419,compound_420,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.920818753952375,1.42021640338319,0.4993976494308151,0.524360358715057,0.505884647369385,-0.018475711345672,30.0,30.285623550415,0.285623550415
23,compound_329,compound_346,CCCCCC(=O)CC(=O)NC1CCOC1=O,CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,2.66354026615147,4.01322826573376,1.34968799958229,0.524054527282715,0.44,-0.0840545272827149,39.0571899414063,43.8,4.742810058593697
24,compound_40,compound_39,CCCCCCCCC(O)C(O)CCCCCCCC(=O)NCCO,CCCCCCCCC(O)C(O)CCCCCCCC(=O)NCCCO,5.24327373504639,5.33434724807739,0.0910735130309996,0.389101952314377,0.384848773479462,-0.0042531788349149,35.0,39.0,4.0
25,compound_349,compound_346,CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,1.23657200643706,4.01322826573376,2.7766562592967,0.40257316827774,0.44,0.03742683172226,26.7116241455078,43.8,17.0883758544922
26,compound_349,compound_347,CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,1.23657200643706,2.17392519729917,0.93735319086211,0.40257316827774,0.442536652088165,0.039963483810425,26.7116241455078,33.2718467712402,6.560222625732401
27,compound_349,compound_331,CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,CCCCCCC(=O)OCC(O)C(O)C(O)CO,1.23657200643706,2.0,0.76342799356294,0.40257316827774,0.450874418020248,0.048301249742508,26.7116241455078,28.9030647277832,2.1914405822754013
28,compound_349,compound_48,CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,CCCCCCCCCC(O)CO,1.23657200643706,2.63808338133136,1.4015113748942998,0.40257316827774,0.223824888467789,-0.1787482798099509,26.7116241455078,24.1108531951904,-2.600770950317397
29,compound_336,compound_347,CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,1.16115090926274,2.17392519729917,1.01277428803643,0.516759157180786,0.442536652088165,-0.074222505092621,32.6591110229492,33.2718467712402,0.6127357482910014
30,compound_344,compound_347,CCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,1.67778070526608,2.17392519729917,0.4961444920330899,0.475113153457642,0.442536652088165,-0.0325765013694769,32.9876441955566,33.2718467712402,0.2842025756836008
31,compound_56,compound_59,CCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCC(O)CCO,3.57839607313017,3.73015451431274,0.1517584411825701,0.455427080392838,0.243379235267639,-0.212047845125199,34.2848739624023,23.5,-10.7848739624023
32,compound_56,compound_60,CCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCC(O)CO,3.57839607313017,3.74496883665445,0.1665727635242797,0.455427080392838,0.26,-0.195427080392838,34.2848739624023,22.5,-11.7848739624023
33,compound_57,compound_56,CCCCCCCCCCC(=O)NCCOCCOCCOCCO,CCCCCCCCCCC(=O)N(CCO)CCO,3.30102999566398,3.57839607313017,0.2773660774661901,0.448722779750824,0.455427080392838,0.006704300642014,30.4918518066406,34.2848739624023,3.793022155761701
34,compound_382,compound_57,CCCCCCCCCCOCCOCCOCCO,CCCCCCCCCCC(=O)NCCOCCOCCOCCO,3.22184874961636,3.30102999566398,0.0791812460476197,0.382906019687653,0.448722779750824,0.065816760063171,27.5059814453125,30.4918518066406,2.9858703613281
35,compound_70,compound_353,CCCCCCCCCCCC(O)NCCOCCO,CCCCCCCCCCCC(=O)N(C)CC(=O)O,3.39804859586648,3.63078414258986,0.2327355467233802,0.422957271337509,0.38,-0.0429572713375089,30.2930755615234,26.1,-4.193075561523397
36,compound_353,compound_73,CCCCCCCCCCCC(=O)N(C)CC(=O)O,CCCCCCCCCCCC(O)OCCOCC,3.63078414258986,4.48148606012211,0.8507019175322501,0.38,0.336194723844528,-0.043805276155472,26.1,26.6185817718506,0.5185817718505987
37,compound_353,compound_74,CCCCCCCCCCCC(=O)N(C)CC(=O)O,CCCCCCCCCCCC(O)OCCOCCOCC,3.63078414258986,4.2839966563652,0.6532125137753395,0.38,0.42,0.0399999999999999,26.1,27.9,1.7999999999999972
38,compound_63,compound_353,CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(=O)N(C)CC(=O)O,3.57839607313017,3.63078414258986,0.0523880694596901,0.44,0.38,-0.06,34.7,26.1,-8.600000000000001
39,compound_63,compound_354,CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(=O)N(C)CC(O)CO,3.57839607313017,3.63827216398241,0.0598760908522399,0.44,0.4,-0.0399999999999999,34.7,38.1,3.3999999999999986
40,compound_70,compound_63,CCCCCCCCCCCC(O)NCCOCCO,CCCCCCCCCCCC(=O)N(CCO)CCO,3.39804859586648,3.57839607313017,0.1803474772636901,0.422957271337509,0.44,0.017042728662491,30.2930755615234,34.7,4.406924438476604
41,compound_63,compound_73,CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(O)OCCOCC,3.57839607313017,4.48148606012211,0.9030899869919402,0.44,0.336194723844528,-0.103805276155472,34.7,26.6185817718506,-8.081418228149403
42,compound_63,compound_74,CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(O)OCCOCCOCC,3.57839607313017,4.2839966563652,0.7056005832350296,0.44,0.42,-0.02,34.7,27.9,-6.800000000000004
43,compound_353,compound_354,CCCCCCCCCCCC(=O)N(C)CC(=O)O,CCCCCCCCCCCC(=O)N(C)CC(O)CO,3.63078414258986,3.63827216398241,0.0074880213925498,0.38,0.4,0.02,26.1,38.1,12.0
44,compound_70,compound_354,CCCCCCCCCCCC(O)NCCOCCO,CCCCCCCCCCCC(=O)N(C)CC(O)CO,3.39804859586648,3.63827216398241,0.2402235681159301,0.422957271337509,0.4,-0.0229572713375089,30.2930755615234,38.1,7.806924438476603
45,compound_354,compound_73,CCCCCCCCCCCC(=O)N(C)CC(O)CO,CCCCCCCCCCCC(O)OCCOCC,3.63827216398241,4.48148606012211,0.8432138961397002,0.4,0.336194723844528,-0.063805276155472,38.1,26.6185817718506,-11.4814182281494
46,compound_354,compound_74,CCCCCCCCCCCC(=O)N(C)CC(O)CO,CCCCCCCCCCCC(O)OCCOCCOCC,3.63827216398241,4.2839966563652,0.6457244923827896,0.4,0.42,0.0199999999999999,38.1,27.9,-10.200000000000005
47,compound_353,compound_356,CCCCCCCCCCCC(=O)N(C)CC(=O)O,CCCCCCCCCCCC(=O)NC1CCOC1=O,3.63078414258986,5.39794000867204,1.76715586608218,0.38,0.352729618549347,-0.027270381450653,26.1,36.2256050109863,10.125605010986298
48,compound_63,compound_356,CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(=O)NC1CCOC1=O,3.57839607313017,5.39794000867204,1.81954393554187,0.44,0.352729618549347,-0.087270381450653,34.7,36.2256050109863,1.5256050109862969
49,compound_354,compound_356,CCCCCCCCCCCC(=O)N(C)CC(O)CO,CCCCCCCCCCCC(=O)NC1CCOC1=O,3.63827216398241,5.39794000867204,1.75966784468963,0.4,0.352729618549347,-0.047270381450653,38.1,36.2256050109863,-1.8743949890137015
50,compound_63,compound_64,CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(=O)NCCOCCOCCOCCO,3.57839607313017,3.85725331306458,0.27885723993441,0.44,0.439505100250244,-0.000494899749756,34.7,30.5,-4.200000000000003
51,compound_70,compound_64,CCCCCCCCCCCC(O)NCCOCCO,CCCCCCCCCCCC(=O)NCCOCCOCCOCCO,3.39804859586648,3.85725331306458,0.4592047171981002,0.422957271337509,0.439505100250244,0.0165478289127349,30.2930755615234,30.5,0.2069244384766015
52,compound_71,compound_64,CCCCCCCCCCCC(O)NCCOCCOCCO,CCCCCCCCCCCC(=O)NCCOCCOCCOCCO,3.29200425357707,3.85725331306458,0.5652490594875101,0.472990334033966,0.439505100250244,-0.033485233783722,31.2091941833496,30.5,-0.7091941833495987
53,compound_336,compound_344,CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,CCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,1.16115090926274,1.67778070526608,0.5166297960033401,0.516759157180786,0.475113153457642,-0.041646003723144,32.6591110229492,32.9876441955566,0.3285331726074005
54,compound_196,compound_376,CCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,2.50932955741882,2.88605664769316,0.3767270902743398,0.401482880115509,0.42,0.018517119884491,35.7,36.1,0.3999999999999986
55,compound_196,compound_197,CCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCN(C)C(=O)COCOCOCO,2.50932955741882,2.88941028970075,0.3800807322819297,0.401482880115509,0.419328047266123,0.017845167150614,35.7,35.9,0.1999999999999957
56,compound_376,compound_197,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,CCCCCCCCCCN(C)C(=O)COCOCOCO,2.88605664769316,2.88941028970075,0.0033536420075899,0.42,0.419328047266123,-0.0006719527338769,36.1,35.9,-0.2000000000000028
57,compound_197,compound_60,CCCCCCCCCCN(C)C(=O)COCOCOCO,CCCCCCCCCCC(O)CO,2.88941028970075,3.74496883665445,0.8555585469536999,0.419328047266123,0.26,-0.1593280472661229,35.9,22.5,-13.4
58,compound_377,compound_376,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,2.63827216398241,2.88605664769316,0.2477844837107499,0.4,0.42,0.0199999999999999,38.9,36.1,-2.799999999999997
59,compound_161,compound_368,CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.54842758178711,3.85387196432176,0.3054443825346502,0.373906910419464,0.42,0.0460930895805359,34.2,35.2,1.0
60,compound_161,compound_162,CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCN(C)C(=O)COCOCOCO,3.54842758178711,3.83564714421556,0.2872195624284503,0.373906910419464,0.416175204805475,0.0422682943860109,34.2,34.4,0.1999999999999957
61,compound_162,compound_368,CCCCCCCCCCCCN(C)C(=O)COCOCOCO,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.83564714421556,3.85387196432176,0.0182248201061998,0.416175204805475,0.42,0.0038247951945249,34.4,35.2,0.8000000000000043
62,compound_163,compound_162,CCCCCCCCCCCCN(C)C.Cl,CCCCCCCCCCCCN(C)C(=O)COCOCOCO,2.59598588943481,3.83564714421556,1.2396612547807502,0.521179378032684,0.416175204805475,-0.105004173227209,38.5,34.4,-4.100000000000001
63,compound_372,compound_162,CCCCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,CCCCCCCCCCCCN(C)C(=O)COCOCOCO,3.72124639904717,3.83564714421556,0.1144007451683903,0.448749959468841,0.416175204805475,-0.032574754663366,30.9257202148438,34.4,3.474279785156199
64,compound_369,compound_368,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.60205999132796,3.85387196432176,0.2518119729938002,0.42,0.42,0.0,36.0,35.2,-0.7999999999999972
65,compound_145,compound_365,CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,4.34816884994507,4.61978875828839,0.2716199083433199,0.390313446521759,0.42,0.029686553478241,34.0,35.0,1.0
66,compound_145,compound_146,CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCCCN(C)C(=O)COCOCOCO,4.34816884994507,4.62708799702989,0.27891914708482,0.390313446521759,0.418271805333463,0.027958358811704,34.0,34.2,0.2000000000000028
67,compound_365,compound_146,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,CCCCCCCCCCCCCCN(C)C(=O)COCOCOCO,4.61978875828839,4.62708799702989,0.0072992387415,0.42,0.418271805333463,-0.001728194666537,35.0,34.2,-0.7999999999999972
68,compound_366,compound_365,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,4.44369749923271,4.61978875828839,0.1760912590556804,0.44,0.42,-0.02,35.7,35.0,-0.7000000000000028
69,compound_121,compound_122,CCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCCCCCN(C)C(=O)COCOCOCO,4.80221843719482,5.11125903931711,0.3090406021222902,0.380956798791885,0.454942210184616,0.073985411392731,33.3,33.5,0.2000000000000028
70,compound_111,compound_112,CCCCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCCCCCCCN(C)C(=O)COCOCOCO,4.93277835845947,5.54515513999149,0.6123767815320198,0.375690430402756,0.418271805333463,0.0425813749307069,32.1,32.3,0.1999999999999957
71,compound_308,compound_307,COCCOCCOCCCOCCOCCOCCNC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COCCOCCOCCCOCCOCCOCCNC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.26003230324049,4.92118081690115,1.66114851366066,0.575004994869232,0.566347241401672,-0.0086577534675599,31.2485160827637,32.818603515625,1.5700874328612997
72,compound_47,compound_58,CCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,CCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,3.53589701652527,3.82939291000366,0.29349589347839,0.392237216234207,0.376059979200363,-0.0161772370338439,33.0,34.1,1.1000000000000014
73,compound_377,compound_379,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,2.63827216398241,2.88605664769316,0.2477844837107499,0.4,0.42,0.0199999999999999,38.9,33.0,-5.899999999999999
74,compound_1,compound_2,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,3.03402948379517,3.35066223144531,0.3166327476501398,0.612738609313965,0.572337925434113,-0.0404006838798519,35.0,31.5,-3.5
75,compound_2,compound_3,CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,3.35066223144531,3.58840680122375,0.2377445697784401,0.572337925434113,0.571093559265137,-0.0012443661689759,31.5,29.0,-2.5
76,compound_2,compound_4,CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,3.35066223144531,3.74124383926392,0.3905816078186102,0.572337925434113,0.573762595653534,0.001424670219421,31.5,27.0,-4.5
77,compound_2,compound_5,CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,3.35066223144531,4.0,0.6493377685546902,0.572337925434113,0.594391345977783,0.0220534205436699,31.5,28.0,-3.5
78,compound_1,compound_3,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,3.03402948379517,3.58840680122375,0.55437731742858,0.612738609313965,0.571093559265137,-0.0416450500488279,35.0,29.0,-6.0
79,compound_1,compound_4,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,3.03402948379517,3.74124383926392,0.70721435546875,0.612738609313965,0.573762595653534,-0.0389760136604309,35.0,27.0,-8.0
80,compound_3,compound_4,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,3.58840680122375,3.74124383926392,0.15283703804017,0.571093559265137,0.573762595653534,0.0026690363883969,29.0,27.0,-2.0
81,compound_3,compound_5,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,3.58840680122375,4.0,0.41159319877625,0.571093559265137,0.594391345977783,0.0232977867126459,29.0,28.0,-1.0
82,compound_3,compound_6,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,3.58840680122375,3.70453214645386,0.11612534523011,0.571093559265137,0.621301591396332,0.0502080321311949,29.0,28.8,-0.1999999999999993
83,compound_4,compound_5,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,3.74124383926392,4.0,0.25875616073608,0.573762595653534,0.594391345977783,0.0206287503242489,27.0,28.0,1.0
84,compound_6,compound_4,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,3.70453214645386,3.74124383926392,0.0367116928100599,0.621301591396332,0.573762595653534,-0.0475389957427979,28.8,27.0,-1.8000000000000007
85,compound_7,compound_4,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,3.6040050983429,3.74124383926392,0.13723874092102,0.66837352514267,0.573762595653534,-0.0946109294891359,28.1,27.0,-1.1000000000000014
