SMILES,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,fold
CCCCCCCCCCCCS(=O)(=O)[O-].C[N+](C)(C)C,anionic,25,2.25963731050576,,,,,,6
CCCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25,2.4089353929735,,,,,,0
CCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25,2.79860287567955,,,,,,5
CCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25,0.769551078621726,,,,,,2
O=C([O-])C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)F.[Na+],anionic,25,1.52287874528034,,,,,,6
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25,2.30980391997149,,,,,,7
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],anionic,25,1.53760200210104,,,,,,7
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25,1.48148606012211,,,,,,8
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25,3.54211810326601,38.2,,,33.77,,5
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25,3.99139982823808,38.1,,,33.87,,5
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25,4.44369749923271,38.2,,,33.77,,5
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,4.88605664769316,38.3,,,33.67,,5
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,4.27572413039921,38.1,,,33.87,,5
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCC(=O)[O-].[Na+],anionic,25,3.40340290437354,39.9,,,32.07,,5
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,3.76955107862173,40.4,,,31.57,,5
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,3.82973828460504,38.7,,,33.27,,5
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,4.39794000867204,,,,,,8
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,4.15490195998574,,,,,,8
CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,3.95860731484178,,,,,,8
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,4,,,,,,0
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,4,,,,,,0
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,3.85387196432176,,,,,,0
CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,3.65757731917779,,,,,,0
CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,2.72124639904717,,,,,,6
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,25,2.60205999132796,,,,,,2
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],anionic,25,3.13667713987954,,,,,,5
CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],anionic,25,2.05060999335509,,,,,,6
CCCCCCCCCCCCS(=O)(=O)[O-].[NH4+],anionic,25,2.05060999335509,,,,,,7
CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25,1.65757731917779,,,,,,1
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25,3.04095860767891,,,,,,6
CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25,1.18045606445813,,,,,,6
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25,2.85387196432176,,,,,,2
CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-].[Na+],anionic,25,1.27572413039921,,,,,,5
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],anionic,25,0.698970004336019,,,,,,6
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25,2.30980391997149,,,,,,6
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25,1.48148606012211,,,,,,7
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)([O-])[O-])cc1.[Na+].[Na+],anionic,25,1.74496883665445,,,,,,1
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)([O-])[O-])cc1.[Na+].[Na+],anionic,25,1.79588001734408,,,,,,1
CCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,25,1.60205999132796,19,0.00000256,0.66,53,2.73102645744249,2
CCCCC(=O)OCC(COC(=O)CCCC)S(=O)(=O)[O-].[Na+],anionic,25,1.23897474828863,,,,,,2
CCCCC(CC)CC(=O)OCC(COC(=O)CC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,25,0.662940273679476,,,,,,2
CCCCCC(=O)OCC(COC(=O)CCCCC)S(=O)(=O)[O-].[Na+],anionic,25,1.81701503299642,,,,,,2
CCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.04701393480294,,,,,,2
CCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,1.08097423541264,,0.00000067,2.48,,,2
CCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.2500319164906,,,,,,3
CCCCCC(CS(=O)(=O)[O-])OCO.[Na+],anionic,25,0.733063088840827,,,,,,3
CCCCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25,3.79588001734408,,,,,,3
CCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,0.744968836654449,,0.000000847,1.96,,,3
CCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,1.96697855531709,,,,,,3
CCCCCCC(CCCCC)S(=O)(=O)[O-].[Na+],anionic,25,1.44201185177509,,,,,,3
CCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.58502665202918,,,,,,3
CCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,1.71399287792053,,0.000000439,3.78,,,3
CCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.4000078224159,,,,,,3
CCCCCCCC(CCCC)S(=O)(=O)[O-].[Na+],anionic,25,1.5480601306349,,,,,,3
CCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.29998893767789,,,,,,3
CCCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.01300446027562,,0.000000555,2.99,,,4
CCCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.59998036493484,,,,,,4
CCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[Na+],anionic,25,2.55299710153384,,,,,,4
CCCCCCCC(CCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25,2.14399654600278,,,,,,4
CCCCCCCC(CS(=O)(=O)[O-])OCO.[Na+],anionic,25,1.14399654600278,,,,,,4
CCCCCCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25,4.15502606185311,,,,,,4
CCCCCCCC(O)NC(O)(OS(=O)(=O)[O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[Na+],anionic,25,1.06198090252379,,,,,,4
CCCCCCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,25,3.30102999566398,,,,,,4
CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25,3.13100309751286,,,,,,4
CCCCCCCCC(=O)[O-].[K+],anionic,25,0.408935392973501,,,,,,5
CCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,1.32799455497705,,,,,,5
CCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.30303235925598,,,,,,5
CCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],anionic,25,1.53895190832934,,0.00000067,2.48,,,5
CCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.50003813440381,,,,,,5
CCCCCCCCC(CCC)S(=O)(=O)[O-].[Na+],anionic,25,1.63507396621002,,,,,,5
CCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.72101788313456,,,,,,5
CCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.56992494444806,,,,,,5
CCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.70005709997723,,,,,,5
CCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[Na+],anionic,25,2.39599006758777,,,,,,5
CCCCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.79997073344623,,,,,,5
CCCCCCCCC(CCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.3099812192113,,,,,,5
CCCCCCCCC(CCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.58502665202918,,,,,,5
CCCCCCCCC(O)OCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,1.31202537996544,,,,,,6
CCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.72101788313456,,,,,,7
CCCCCCCCCC(CC)S(=O)(=O)[O-].[Na+],anionic,25,1.73002032335468,,,,,,7
CCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.60607399341416,,,,,,7
CCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.17101804599208,,,,,,7
CCCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.77989191195995,,,,,,7
CCCCCCCCCC(CCCCC)COS(=O)(=O)[O-].[Na+],anionic,25,2.52302353424047,,,,,,7
CCCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.89997426989214,,,,,,7
CCCCCCCCCC(CCCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.48095996135166,,0.000000434,3.83,,,7
CCCCCCCCCC(CCS(=O)(=O)[O-])OC(C)C.[Na+],anionic,25,2.45804652554176,,,,,,7
CCCCCCCCCC(CCS(=O)(=O)[O-])OC(CC)CCCCC.[Na+],anionic,25,3.50100063641985,,,,,,7
CCCCCCCCCC(CCS(=O)(=O)[O-])OC.[Na+],anionic,25,2.11798803837334,,,,,,7
CCCCCCCCCC(CCS(=O)(=O)[O-])OCC.[Na+],anionic,25,2.30102999566398,,,,,,7
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCC.[Na+],anionic,25,2.81701503299642,,,,,,7
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCCCC.[Na+],anionic,25,3.18502031623924,,,,,,7
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCCCCCC.[Na+],anionic,25,3.92190584959359,,,,,,7
CCCCCCCCCC(CCS(=O)(=O)[O-])Oc1ccccc1.[Na+],anionic,25,2.70796556400526,,,,,,7
CCCCCCCCCC(CS(=O)(=O)[O-])OCO.[Na+],anionic,25,1.62105730138656,,,,,,7
CCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25,1.60607399341416,,,,,,7
CCCCCCCCCC(OCC)(OCC)OS(=O)(=O)[O-].[Na+],anionic,25,1.9100948885606,,,,,,8
CCCCCCCCCC(OCC)S(=O)(=O)[O-].[Na+],anionic,25,1.78701381526333,,,,,,8
CCCCCCCCCCC(=O)[O-].[K+],anionic,25,1.00877392430751,,,,,,8
CCCCCCCCCCC(C)S(=O)(=O)[O-].[Na+],anionic,25,1.82710530224782,,,,,,9
CCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.69207629638812,,,,,,9
CCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.28802414564824,,0.000000414,4.01,,,9
CCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.89997426989214,,,,,,9
CCCCCCCCCCC(CCCC)COS(=O)(=O)[O-].[Na+],anionic,25,2.63808338133136,,,,,,9
CCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.17698247655395,,,,,,9
CCCCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3.04000516167158,,,,,,9
CCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.37202001017002,,0.0000005,3.32,,,9
CCCCCCCCCCC(CCS(=O)(=O)[O-])OC(C)=O.[Na+],anionic,25,2.58302682739696,,,,,,9
CCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],anionic,25,1.78701381526333,,,,,,9
CCCCCCCCCCC(O)OCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,1.88306035344924,,,,,,0
CCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,2.81701503299642,,,,,,1
CCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3.20802879897923,,,,,,1
CCCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3,,,,,,1
CCCCCCCCCCCC(CCC)COS(=O)(=O)[O-].[Na+],anionic,25,2.69897000433602,,,,,,1
CCCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3.15002808767115,,,,,,1
CCCCCCCCCCCC(CCS(=O)(=O)[O-])COCCO.[Na+],anionic,25,2.19900813873983,,,,,,1
CCCCCCCCCCCC(CCS(=O)(=O)[O-])COCCOCCO.[Na+],anionic,25,3.44502654166676,30.5,0.00000131,1.27,41.5,4.88241526003233,1
CCCCCCCCCCCC(CCS(=O)(=O)[O-])N(C)C.[Na+],anionic,25,4.78701381526333,30.4,0.00000195,0.85,41.6,5.75713548908258,1
CCCCCCCCCCCC(CCS(=O)(=O)[O-])N1CCCCC1.[Na+],anionic,25,3.3099812192113,,,,,,1
CCCCCCCCCCCC(CCS(=O)(=O)[O-])N1CCOCC1.[Na+],anionic,25,3.10601643278815,,,,,,2
CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCC.[Na+],anionic,25,2.96417017474717,30.7,0.00000237,0.7,41.3,3.75128542170143,2
CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCCC.[Na+],anionic,25,3.19997064075587,33,0.00000216,0.77,39,3.97035404299788,2
CCCCCCCCCCCC(CCS(=O)(=O)[O-])Oc1cc(Cl)c(Cl)cc1Cl.[Na+],anionic,25,3.64092377394074,29.1,0.00000213,0.78,42.9,4.5825161784008,2
CCCCCCCCCCCC(CCS(=O)(=O)[O-])Oc1ccccc1.[Na+],anionic,25,2.92190584959359,29,0.00000175,0.95,43,4.07296291495849,2
CCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25,1.54106013810967,,,,,,2
CCCCCCCCCCCC(O)NC(O)(OS(=O)(=O)[O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[Na+],anionic,25,2.77006231409207,,,,,,2
CCCCCCCCCCCC(OCC)(OCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.55299710153384,,,,,,2
CCCCCCCCCCCC(OCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.39599006758777,,,,,,2
CCCCCCCCCCCC(OCCOCC)(OCCOCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.77006231409207,,,,,,2
CCCCCCCCCCCCC(=O)[O-].[K+],anionic,25,1.59345981956604,,,,,,3
CCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,2.48095996135166,,0.000000555,2.99,,,3
CCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3.38997897533586,,,,,,3
CCCCCCCCCCCCC(CC)COS(=O)(=O)[O-].[Na+],anionic,25,2.82390874094432,,,,,,3
CCCCCCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],anionic,25,2.65797231191253,,,,,,3
CCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.62893213772826,,,,,,3
CCCCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.02701077314465,,,,,,3
CCCCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],anionic,25,2.43203309317685,,,,,,3
CCCCCCCCCCCCC(O)OCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.52302353424047,,,,,,3
CCCCCCCCCCCCC(OC(C)=O)S(=O)(=O)[O-].[Na+],anionic,25,3.39804859586648,,,,,,4
CCCCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25,2.56895805466411,,,,,,4
CCCCCCCCCCCCCC(C)COS(=O)(=O)[O-].[Na+],anionic,25,2.95900230757651,,,,,,4
CCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,2.76700388960785,,0.000000525,3.16,,,4
CCCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3.57691804170277,,,,,,4
CCCCCCCCCCCCCC(CCS(=O)(=O)[O-])OCCCC.[Na+],anionic,25,4.45804652554176,,,,,,4
CCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25,2.83893161452883,,,,,,5
CCCCCCCCCCCCCC(OCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.85698519974591,,,,,,5
CCCCCCCCCCCCCC(OCCOCC)(OCCOCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.16001944232166,,,,,,5
CCCCCCCCCCCCCCC(=O)[O-].[K+],anionic,25,2.18045606445813,,,,,,5
CCCCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.14302956651751,,0.000000454,3.66,,,5
CCCCCCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.0970186002025,,,,,,5
CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,4.10001543745061,,,,,,5
CCCCCCCCCCCCCCC(OC(=O)CC)S(=O)(=O)[O-].[Na+],anionic,25,3.96417017474717,,,,,,5
CCCCCCCCCCCCCCC(OC(=O)CCC)S(=O)(=O)[O-].[Na+],anionic,25,4,,,,,,5
CCCCCCCCCCCCCCC(OC(C)=O)S(=O)(=O)[O-].[Na+],anionic,25,3.50905879464321,,,,,,6
CCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,2.62893213772826,,0.000000474,3.5,,,6
CCCCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25,3.41998788747058,,,,,,6
CCCCCCCCCCCCCCCC(O)NC(O)(OS(=O)(=O)[O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[Na+],anionic,25,3.92081875395238,,,,,,6
CCCCCCCCCCCCCCCCC(=O)[O-].[K+],anionic,35,2.74472749489669,,,,,,7
CCCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,3.34698054890039,,0.000000452,3.67,,,7
CCCCCCCCCCCCCCCCC(OC(=O)C(C)C)S(=O)(=O)[O-].[Na+],anionic,25,2.56607023439154,,,,,,7
CCCCCCCCCCCCCCCCC(OC(=O)CC)S(=O)(=O)[O-].[Na+],anionic,25,4.89894064509188,,,,,,7
CCCCCCCCCCCCCCCCC(OC(=O)CCC)S(=O)(=O)[O-].[Na+],anionic,25,4.56895805466411,,,,,,7
CCCCCCCCCCCCCCCCC(OC(C)=O)S(=O)(=O)[O-].[Na+],anionic,25,4.10601643278815,,,,,,7
CCCCCCCCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25,3.74496883665445,,,,,,7
CCCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25,3.63507396621002,,,,,,9
CCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25,3.13100309751286,,,,,,0
CCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,2.92118081690115,,,,,,2
CCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25,3.1390035632428,,,,,,2
CCCCCCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],anionic,25,3.04599883231843,,,,,,2
CCCCCCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25,1.98589967848038,,,,,,2
CCCCCCCCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1.[Na+],anionic,25,4.79588001734408,,,,,,4
CCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,2.36703683183274,,,,,,4
CCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25,2.42101715729721,,,,,,4
CCCCCCCCCCCCC[C@H](Nc1ccc(S(=O)(=O)[O-])cc1)C(=O)O.[Na+],anionic,25,3.38700434396765,,,,,,4
CCCCCCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1.[Na+],anionic,25,4.20100426555612,,,,,,0
CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.92118081690115,,,,,,0
CCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,1.7830427926389,,,,,,0
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,1.48095996135166,,0.000000534,3.11,,,2
CCCCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1.[Na+],anionic,25,3.48095996135166,,,,,,4
